month,product,acquirer_segment,deals_created,deals_won,pipeline_value_usd,avg_deal_size_usd,win_rate,avg_days_to_close,mom_growth
2026-05-01,Acceptance API,Fintechs,4,2,399614.45,205889.12,0.5148,79.5,0.049
2026-05-01,Visa Acceptance Console,Tier 1 Banks,7,2,4410896.46,1062203.13,0.4068,108.9,0.0539
2026-05-01,Visa Acceptance Console,Regional Banks,2,0,701222.11,562930.42,0.3772,89.3,0.0582
2026-05-01,Visa Acceptance Console,ISOs,11,5,681644.48,126768.18,0.5112,42.5,0.0304
2026-05-01,Visa Acceptance Console,Fintechs,9,4,1100367.99,263243.16,0.5356,73.2,0.0406
2026-06-01,Tap-to-Phone,Tier 1 Banks,8,3,4780883.44,1089183.19,0.4513,139.5,0.0319
2026-06-01,Tap-to-Phone,Regional Banks,13,6,3295999.1,520221.41,0.5126,80.1,0.0097
2026-06-01,Tap-to-Phone,ISOs,2,0,114955.03,113420.84,0.4932,43.6,0.0498
2026-06-01,Tap-to-Phone,Fintechs,6,2,867838.0,247302.63,0.4151,70.1,0.0548
2026-06-01,Tokenization Suite,Tier 1 Banks,12,3,10263939.69,1189248.27,0.2808,130.7,0.0713
2026-06-01,Tokenization Suite,Regional Banks,14,7,4247941.31,608947.85,0.5017,84.9,0.0205
2026-06-01,Tokenization Suite,ISOs,9,3,620932.23,123261.97,0.4403,48.4,0.0788
2026-06-01,Tokenization Suite,Fintechs,7,3,933160.07,279252.8,0.5226,78.8,0.0247
2026-06-01,Acceptance API,Tier 1 Banks,8,3,4222055.16,926153.91,0.4302,102.5,0.1011
2026-06-01,Acceptance API,Regional Banks,5,2,1137296.85,455063.6,0.5002,85.8,0.0691
2026-06-01,Acceptance API,ISOs,10,4,518284.11,94556.08,0.4519,46.3,-0.0032
2026-06-01,Acceptance API,Fintechs,7,3,699878.33,219868.9,0.5453,71.0,0.0658
2026-06-01,Visa Acceptance Console,Tier 1 Banks,8,2,6469145.86,1160849.59,0.3034,116.9,0.0847
2026-06-01,Visa Acceptance Console,Regional Banks,2,0,683881.07,507686.03,0.3265,107.2,0.0057
2026-06-01,Visa Acceptance Console,ISOs,4,1,253471.09,120940.04,0.476,48.9,0.0376
2026-06-01,Visa Acceptance Console,Fintechs,13,5,2052061.33,261614.21,0.3966,60.7,0.0591
